2018-10-18 07:46:37.731464	https://www.encodeproject.org/report/?type=ReferenceEpigenome&field=accession&field=biosample_term_name&field=related_datasets.assay_term_name&field=description&field=award.project&field=status&field=related_datasets.replicates.library.biosample.organism.scientific_name&field=dbxrefs&field=assay_term_id&field=biosample_type&field=assay_synonyms&field=biosample_term_id&field=biosample_synonyms&limit=all
Accession	Biosample term	Assay Type	Description	Project	Status	Species	External identifiers	Assay term id	Biosample type	Assay synonyms	Biosample term id	Biosample synonyms
ENCSR537ULW	PC-9	ChIP-seq,DNase-seq	Reference epigenome of PC-9	ENCODE	released	Homo sapiens	IHEC:IHECRE00003706.1	OBI:0000716,OBI:0001853	cell line	ChIP-seq assay,DNase I hypersensitive sites sequencing assay,DNase-seq assay,DNase-seq,chromatin immunoprecipitation sequencing assay	EFO:0002847	
ENCSR248SXA	liver	ChIP-seq,ATAC-seq,microRNA-seq,RNA-seq,whole-genome shotgun bisulfite sequencing,DNase-seq	Reference Epigenome for mouse liver (embryonic 14.5 day).	ENCODE	released	Mus musculus	IHEC:IHECRE00001788.1	OBI:0002039,OBI:0000716,OBI:0001863,OBI:0001922,OBI:0001853,OBI:0001271	tissue	miRNA-seq,microRNA-seq assay,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,whole-genome shotgun bisulfite sequencing,microRNA-seq,DNase-seq assay,WGSBS,whole genome bisulfite sequencing,ATAC-seq assay,DNase I hypersensitive sites sequencing assay,microRNA profiling by high throughput sequencing assay,RNA-seq assay,DNase-seq,Shotgun bisulfite sequencing,ATAC-seq,WGBS,assay for transposase-accessible chromatin using sequencing,transcription profiling by high throughput sequencing,shotgun bisulfite-seq assay	UBERON:0002107	jecur,iecur,Entire liver
ENCSR561OQA	small intestine	RNA-seq,whole-genome shotgun bisulfite sequencing,DNase-seq,ChIP-seq	REMC Epigenome (Class 2) for Small Intestine using donors/samples:STL001; STL003	Roadmap	released	Homo sapiens	IHEC:IHECRE00000983.1	OBI:0001853,OBI:0000716,OBI:0001271,OBI:0001863	tissue	chromatin immunoprecipitation sequencing assay,ChIP-seq assay,whole-genome shotgun bisulfite sequencing,DNase-seq assay,WGSBS,whole genome bisulfite sequencing,DNase I hypersensitive sites sequencing assay,RNA-seq assay,DNase-seq,Shotgun bisulfite sequencing,WGBS,transcription profiling by high throughput sequencing,shotgun bisulfite-seq assay	UBERON:0002108	intestinum tenue,mid intestine,Entire small intestine,small intestine,small bowel,anterior intestine
ENCSR944NEQ	lung	ChIP-seq,ATAC-seq,whole-genome shotgun bisulfite sequencing,DNase-seq,microRNA-seq,RNA-seq	Reference Epigenome for mouse lung (embryonic 14.5 day).	ENCODE	released	Mus musculus	IHEC:IHECRE00001849.1	OBI:0002039,OBI:0000716,OBI:0001863,OBI:0001922,OBI:0001853,OBI:0001271	tissue	miRNA-seq,microRNA-seq assay,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,whole-genome shotgun bisulfite sequencing,microRNA-seq,DNase-seq assay,WGSBS,whole genome bisulfite sequencing,ATAC-seq assay,DNase I hypersensitive sites sequencing assay,microRNA profiling by high throughput sequencing assay,RNA-seq assay,DNase-seq,Shotgun bisulfite sequencing,ATAC-seq,WGBS,assay for transposase-accessible chromatin using sequencing,transcription profiling by high throughput sequencing,shotgun bisulfite-seq assay	UBERON:0002048	Entire lung,pulmo
ENCSR189GMC	brain	MRE-seq,MeDIP-seq,microRNA-seq,RNA-seq,ChIP-seq,DNase-seq	REMC Epigenome (Class 4) for Fetal Brain Female using donors/samples:HuFNSC01; HuFNSC02; H-22911	Roadmap	released	Homo sapiens	IHEC:IHECRE00001032.1	OBI:0000716,OBI:0001922,OBI:0000693,OBI:0001853,OBI:0001271,OBI:0001861	tissue	Methylated DNA immunoprecipitation sequencing assay,miRNA-seq,microRNA-seq assay,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,methylation-sensitive restriction enzyme sequencing assay,microRNA-seq,DNase-seq assay,DNase I hypersensitive sites sequencing assay,RNA-seq assay,microRNA profiling by high throughput sequencing assay,MRE-seq,DNase-seq,MeDIP-seq assay,MRE-seq assay,transcription profiling by high throughput sequencing	UBERON:0000955	encephalon,synganglion,Entire brain
ENCSR421ANJ	MM.1S	ChIP-seq,DNase-seq	Reference epigenome of MM.1S	ENCODE	released	Homo sapiens	IHEC:IHECRE00003705.1	OBI:0000716,OBI:0001853	cell line	ChIP-seq assay,DNase I hypersensitive sites sequencing assay,DNase-seq assay,DNase-seq,chromatin immunoprecipitation sequencing assay	EFO:0005724	MM.1-S,MM.1 S,MM.1S cell
ENCSR177CZE	fibroblast of lung	ChIP-seq,RNA-seq,DNase-seq	REMC Epigenome (ENCODE) for Lung Fibroblast Primary Cells using donors/samples:NHLF	Roadmap	archived	Homo sapiens		OBI:0000716,OBI:0001853,OBI:0001271	primary cell	chromatin immunoprecipitation sequencing assay,ChIP-seq assay,DNase-seq assay,DNase I hypersensitive sites sequencing assay,RNA-seq assay,DNase-seq,transcription profiling by high throughput sequencing	CL:0002553	fibroblast of lung,NHLF
ENCSR215SBU	muscle layer of colon	RRBS,ChIP-seq	REMC Epigenome (Class 5) for Colon Smooth Muscle using donors/samples:156; 83_REMC_18	Roadmap	released	Homo sapiens	IHEC:IHECRE00001043.1	OBI:0000716,OBI:0001862	tissue	RRBS,reduced representation bisulfite-seq,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,RRBS assay,reduced representation bisulfite sequencing assay	UBERON:0012489	muscularis externa of colon,colonic muscularis propria,muscular coat of colon,muscular layer of colon,tunica muscularis coli
ENCSR548TUQ	heart	ATAC-seq,ChIP-seq,whole-genome shotgun bisulfite sequencing,microRNA-seq,RNA-seq	Reference Epigenome for mouse heart (embryonic 14.5 day).	ENCODE	released	Mus musculus	IHEC:IHECRE00001814.1	OBI:0000716,OBI:0001271,OBI:0002039,OBI:0001922,OBI:0001863	tissue	miRNA-seq,microRNA-seq assay,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,whole-genome shotgun bisulfite sequencing,microRNA-seq,WGSBS,whole genome bisulfite sequencing,ATAC-seq assay,RNA-seq assay,microRNA profiling by high throughput sequencing assay,ATAC-seq,Shotgun bisulfite sequencing,WGBS,assay for transposase-accessible chromatin using sequencing,transcription profiling by high throughput sequencing,shotgun bisulfite-seq assay	UBERON:0000948	Entire heart,vertebrate heart,Herz,chambered heart,branchial heart
ENCSR013RWY	Loucy	ChIP-seq	Reference epigenome of Loucy	ENCODE	released	Homo sapiens		OBI:0000716	cell line	ChIP-seq assay,chromatin immunoprecipitation sequencing assay	EFO:0007112	
ENCSR687SNT	liver	ChIP-seq,ATAC-seq,whole-genome shotgun bisulfite sequencing,RNA-seq,microRNA-seq,DNase-seq	Reference epigenome for mouse liver (postnatal 0 day).	ENCODE	released	Mus musculus	IHEC:IHECRE00001823.1	OBI:0002039,OBI:0000716,OBI:0001863,OBI:0001922,OBI:0001853,OBI:0001271	tissue	miRNA-seq,microRNA-seq assay,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,whole-genome shotgun bisulfite sequencing,microRNA-seq,DNase-seq assay,WGSBS,whole genome bisulfite sequencing,ATAC-seq assay,DNase I hypersensitive sites sequencing assay,microRNA profiling by high throughput sequencing assay,RNA-seq assay,DNase-seq,Shotgun bisulfite sequencing,ATAC-seq,WGBS,assay for transposase-accessible chromatin using sequencing,transcription profiling by high throughput sequencing,shotgun bisulfite-seq assay	UBERON:0002107	jecur,iecur,Entire liver
ENCSR231EPI	liver	ATAC-seq,microRNA-seq,ChIP-seq,whole-genome shotgun bisulfite sequencing,RNA-seq	Reference Epigenome for mouse liver (embryonic 11.5 day).	ENCODE	released	Mus musculus	IHEC:IHECRE00001786.1	OBI:0000716,OBI:0001271,OBI:0002039,OBI:0001922,OBI:0001863	tissue	miRNA-seq,microRNA-seq assay,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,whole-genome shotgun bisulfite sequencing,microRNA-seq,WGSBS,whole genome bisulfite sequencing,ATAC-seq assay,RNA-seq assay,microRNA profiling by high throughput sequencing assay,ATAC-seq,Shotgun bisulfite sequencing,WGBS,assay for transposase-accessible chromatin using sequencing,transcription profiling by high throughput sequencing,shotgun bisulfite-seq assay	UBERON:0002107	jecur,iecur,Entire liver
ENCSR832UFG	CD4-positive, alpha-beta T cell	ChIP-seq	REMC Epigenome (Class 5) for Primary T Helper Cells PMA-I Stimulated using donors/samples:62;332	Roadmap	released	Homo sapiens	IHEC:IHECRE00001001.1	OBI:0000716	primary cell	ChIP-seq assay,chromatin immunoprecipitation sequencing assay	CL:0000624	CD4-positive, alpha-beta T lymphocyte,CD4-positive, alpha-beta T-cell,CD4-positive, alpha-beta T-lymphocyte
ENCSR041FSA	radial glial cell	ChIP-seq	Reference epigenome of radial glial cell	ENCODE	released	Homo sapiens		OBI:0000716	in vitro differentiated cells	ChIP-seq assay,chromatin immunoprecipitation sequencing assay	CL:0000681	
ENCSR903UWK	CD14-positive monocyte	ChIP-seq,DNase-seq	REMC Epigenome (ENCODE) for Monocytes-CD14+ RO01746 Primary Cells using donors/samples:RO01746	Roadmap	archived	Homo sapiens		OBI:0000716,OBI:0001853	primary cell	ChIP-seq assay,DNase I hypersensitive sites sequencing assay,DNase-seq assay,DNase-seq,chromatin immunoprecipitation sequencing assay	CL:0001054	
ENCSR767BSH	kidney	ChIP-seq,ATAC-seq,whole-genome shotgun bisulfite sequencing,microRNA-seq,RNA-seq,DNase-seq	Reference epigenome for mouse kidney (postnatal 0 day).	ENCODE	released	Mus musculus	IHEC:IHECRE00001829.1	OBI:0002039,OBI:0000716,OBI:0001863,OBI:0001922,OBI:0001853,OBI:0001271	tissue	miRNA-seq,microRNA-seq assay,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,whole-genome shotgun bisulfite sequencing,microRNA-seq,DNase-seq assay,WGSBS,whole genome bisulfite sequencing,ATAC-seq assay,DNase I hypersensitive sites sequencing assay,microRNA profiling by high throughput sequencing assay,RNA-seq assay,DNase-seq,Shotgun bisulfite sequencing,ATAC-seq,WGBS,assay for transposase-accessible chromatin using sequencing,transcription profiling by high throughput sequencing,shotgun bisulfite-seq assay	UBERON:0002113	Entire kidney,reniculate kidney
ENCSR881OKK	lung	ATAC-seq,ChIP-seq,whole-genome shotgun bisulfite sequencing,RNA-seq,microRNA-seq	Reference epigenome for mouse lung (embryonic 15.5 day).	ENCODE	released	Mus musculus	IHEC:IHECRE00001843.1	OBI:0000716,OBI:0001271,OBI:0002039,OBI:0001922,OBI:0001863	tissue	miRNA-seq,microRNA-seq assay,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,whole-genome shotgun bisulfite sequencing,microRNA-seq,WGSBS,whole genome bisulfite sequencing,ATAC-seq assay,RNA-seq assay,microRNA profiling by high throughput sequencing assay,ATAC-seq,Shotgun bisulfite sequencing,WGBS,assay for transposase-accessible chromatin using sequencing,transcription profiling by high throughput sequencing,shotgun bisulfite-seq assay	UBERON:0002048	Entire lung,pulmo
ENCSR044VTN	mammary epithelial cell	microRNA-seq,RNA-seq,MRE-seq,MeDIP-seq,ChIP-seq,DNase-seq	REMC Epigenome (Class 3) for Breast variant Human Mammary Epithelial Cells (vHMEC) using donors/samples:RM035	Roadmap	released	Homo sapiens	IHEC:IHECRE00000937.1	OBI:0000716,OBI:0001922,OBI:0000693,OBI:0001853,OBI:0001271,OBI:0001861	primary cell	Methylated DNA immunoprecipitation sequencing assay,miRNA-seq,microRNA-seq assay,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,methylation-sensitive restriction enzyme sequencing assay,microRNA-seq,DNase-seq assay,DNase I hypersensitive sites sequencing assay,RNA-seq assay,microRNA profiling by high throughput sequencing assay,MRE-seq,DNase-seq,MeDIP-seq assay,MRE-seq assay,transcription profiling by high throughput sequencing	CL:0002327	mammary epithelial cell,breast epithelial cell
ENCSR486MYL	limb	ATAC-seq,whole-genome shotgun bisulfite sequencing,ChIP-seq,RNA-seq,microRNA-seq	Reference epigenome for mouse limb (embryonic 15.5 day).	ENCODE	released	Mus musculus	IHEC:IHECRE00001808.1	OBI:0000716,OBI:0001271,OBI:0002039,OBI:0001922,OBI:0001863	tissue	miRNA-seq,microRNA-seq assay,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,whole-genome shotgun bisulfite sequencing,microRNA-seq,WGSBS,whole genome bisulfite sequencing,ATAC-seq assay,RNA-seq assay,microRNA profiling by high throughput sequencing assay,ATAC-seq,Shotgun bisulfite sequencing,WGBS,assay for transposase-accessible chromatin using sequencing,transcription profiling by high throughput sequencing,shotgun bisulfite-seq assay	UBERON:0002101	flipper,tetrapod limb,extremities,pentadactyl limb,extremity,free limb,Entire limb,limb sensu Vertebrata,limb sensu vertebrata
ENCSR266TXT	liver	ATAC-seq,ChIP-seq,whole-genome shotgun bisulfite sequencing,RNA-seq,microRNA-seq	Reference Epigenome for mouse liver (embryonic 13.5 day).	ENCODE	released	Mus musculus	IHEC:IHECRE00001790.1	OBI:0000716,OBI:0001271,OBI:0002039,OBI:0001922,OBI:0001863	tissue	miRNA-seq,microRNA-seq assay,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,whole-genome shotgun bisulfite sequencing,microRNA-seq,WGSBS,whole genome bisulfite sequencing,ATAC-seq assay,RNA-seq assay,microRNA profiling by high throughput sequencing assay,ATAC-seq,Shotgun bisulfite sequencing,WGBS,assay for transposase-accessible chromatin using sequencing,transcription profiling by high throughput sequencing,shotgun bisulfite-seq assay	UBERON:0002107	jecur,iecur,Entire liver
ENCSR012JBT	mesenchymal stem cell	RRBS,ChIP-seq	REMC Epigenome (Class 5) for Bone Marrow Derived Cultured Mesenchymal Stem Cells using donors/samples:57;58;59;60	Roadmap	released	Homo sapiens	IHEC:IHECRE00001042.1	OBI:0000716,OBI:0001862	in vitro differentiated cells	RRBS,reduced representation bisulfite-seq,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,RRBS assay,reduced representation bisulfite sequencing assay	EFO:0000586	conditioned mesenchymal stem cell
ENCSR016LTR	heart	ATAC-seq,ChIP-seq,RNA-seq,whole-genome shotgun bisulfite sequencing,microRNA-seq	Reference Epigenome for mouse heart (embryonic 11.5 day).	ENCODE	released	Mus musculus	IHEC:IHECRE00001773.1	OBI:0000716,OBI:0001271,OBI:0002039,OBI:0001922,OBI:0001863	tissue	miRNA-seq,microRNA-seq assay,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,whole-genome shotgun bisulfite sequencing,microRNA-seq,WGSBS,whole genome bisulfite sequencing,ATAC-seq assay,RNA-seq assay,microRNA profiling by high throughput sequencing assay,ATAC-seq,Shotgun bisulfite sequencing,WGBS,assay for transposase-accessible chromatin using sequencing,transcription profiling by high throughput sequencing,shotgun bisulfite-seq assay	UBERON:0000948	Entire heart,vertebrate heart,Herz,chambered heart,branchial heart
ENCSR521POX	thymus	whole-genome shotgun bisulfite sequencing,RNA-seq,ChIP-seq	REMC Epigenome (Class 2) for Thymus using donors/samples:STL001	Roadmap	released	Homo sapiens	IHEC:IHECRE00000969.1	OBI:0000716,OBI:0001271,OBI:0001863	tissue	chromatin immunoprecipitation sequencing assay,ChIP-seq assay,whole-genome shotgun bisulfite sequencing,WGSBS,whole genome bisulfite sequencing,RNA-seq assay,Shotgun bisulfite sequencing,WGBS,transcription profiling by high throughput sequencing,shotgun bisulfite-seq assay	UBERON:0002370	thymus organ,thymus gland,Entire thymus
ENCSR786NTC	osteoblast	ChIP-seq,RRBS	REMC Epigenome (ENCODE) for Osteoblast Primary Cells using donors/samples:Osteobl	Roadmap	archived	Homo sapiens		OBI:0000716,OBI:0001862	primary cell	RRBS,reduced representation bisulfite-seq,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,RRBS assay,reduced representation bisulfite sequencing assay	CL:0000062	
ENCSR026SJT	intestine	ATAC-seq,ChIP-seq,whole-genome shotgun bisulfite sequencing,microRNA-seq,RNA-seq	Reference epigenome for mouse intestine (embryonic 14.5 day).	ENCODE	released	Mus musculus	IHEC:IHECRE00001775.1	OBI:0000716,OBI:0001271,OBI:0002039,OBI:0001922,OBI:0001863	tissue	miRNA-seq,microRNA-seq assay,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,whole-genome shotgun bisulfite sequencing,microRNA-seq,WGSBS,whole genome bisulfite sequencing,ATAC-seq assay,RNA-seq assay,microRNA profiling by high throughput sequencing assay,ATAC-seq,Shotgun bisulfite sequencing,WGBS,assay for transposase-accessible chromatin using sequencing,transcription profiling by high throughput sequencing,shotgun bisulfite-seq assay	UBERON:0000160	Entire intestine,bowel
ENCSR752LMU	sigmoid colon	RNA-seq,whole-genome shotgun bisulfite sequencing,ChIP-seq	REMC Epigenome (Class 2) for Sigmoid Colon using donors/samples:STL001;STL003	Roadmap	released	Homo sapiens	IHEC:IHECRE00001025.1	OBI:0000716,OBI:0001271,OBI:0001863	tissue	chromatin immunoprecipitation sequencing assay,ChIP-seq assay,whole-genome shotgun bisulfite sequencing,WGSBS,whole genome bisulfite sequencing,RNA-seq assay,Shotgun bisulfite sequencing,WGBS,transcription profiling by high throughput sequencing,shotgun bisulfite-seq assay	UBERON:0001159	colon sigmoideum,sigmoid flexure,pelvic colon,Entire sigmoid colon,sigmoid colon
ENCSR826FLO	liver	ATAC-seq,ChIP-seq,whole-genome shotgun bisulfite sequencing,RNA-seq,microRNA-seq	Reference Epigenome for mouse liver (embryonic 16.5 day).	ENCODE	released	Mus musculus	IHEC:IHECRE00001834.1	OBI:0000716,OBI:0001271,OBI:0002039,OBI:0001922,OBI:0001863	tissue	miRNA-seq,microRNA-seq assay,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,whole-genome shotgun bisulfite sequencing,microRNA-seq,WGSBS,whole genome bisulfite sequencing,ATAC-seq assay,RNA-seq assay,microRNA profiling by high throughput sequencing assay,ATAC-seq,Shotgun bisulfite sequencing,WGBS,assay for transposase-accessible chromatin using sequencing,transcription profiling by high throughput sequencing,shotgun bisulfite-seq assay	UBERON:0002107	jecur,iecur,Entire liver
ENCSR697EXE	skeletal muscle tissue	transcription profiling by array assay,RRBS,ChIP-seq	REMC Epigenome (Class 4) for Skeletal Muscle Male using donors/samples: 63	Roadmap	released	Homo sapiens	IHEC:IHECRE00000950.1	OBI:0000716,OBI:0001862,OBI:0001463	tissue	RNA profiling by array assay,RRBS,transcription profiling by array assay,reduced representation bisulfite-seq,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,RRBS assay,reduced representation bisulfite sequencing assay	UBERON:0001134	
ENCSR502XBO	forebrain	ATAC-seq,microRNA-seq,ChIP-seq,RNA-seq,whole-genome shotgun bisulfite sequencing	Reference epigenome for mouse forebrain (embryonic 16.5 day).	ENCODE	released	Mus musculus	IHEC:IHECRE00001810.1	OBI:0000716,OBI:0001271,OBI:0002039,OBI:0001922,OBI:0001863	tissue	miRNA-seq,microRNA-seq assay,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,whole-genome shotgun bisulfite sequencing,microRNA-seq,WGSBS,whole genome bisulfite sequencing,ATAC-seq assay,RNA-seq assay,microRNA profiling by high throughput sequencing assay,ATAC-seq,Shotgun bisulfite sequencing,WGBS,assay for transposase-accessible chromatin using sequencing,transcription profiling by high throughput sequencing,shotgun bisulfite-seq assay	UBERON:0001890	Entire prosencephalon,prosencephalon
ENCSR774NDT	stomach smooth muscle	transcription profiling by array assay,RRBS,ChIP-seq	REMC Epigenome (Class 4) for Stomach Smooth Muscle using donors/samples:28	Roadmap	released	Homo sapiens	IHEC:IHECRE00000945.1	OBI:0000716,OBI:0001862,OBI:0001463	tissue	RNA profiling by array assay,RRBS,transcription profiling by array assay,reduced representation bisulfite-seq,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,RRBS assay,reduced representation bisulfite sequencing assay	UBERON:0004222	ventriculus non-striated muscle,ventriculus smooth muscle tissue,stomach smooth muscle tissue,stomach involuntary muscle,ventriculus smooth muscle,ventriculus involuntary muscle,smooth muscle tissue of ventriculus,stomach non-striated muscle,smooth muscle of stomach,involuntary muscle of stomach,non-striated muscle of stomach,smooth muscle tissue of stomach,involuntary muscle of ventriculus,non-striated muscle of ventriculus,smooth muscle of ventriculus
ENCSR840QVS	kidney	ATAC-seq,ChIP-seq,whole-genome shotgun bisulfite sequencing,microRNA-seq,RNA-seq	Reference epigenome for mouse kidney (embryonic 14.5 day).	ENCODE	released	Mus musculus	IHEC:IHECRE00001838.1	OBI:0000716,OBI:0001271,OBI:0002039,OBI:0001922,OBI:0001863	tissue	miRNA-seq,microRNA-seq assay,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,whole-genome shotgun bisulfite sequencing,microRNA-seq,WGSBS,whole genome bisulfite sequencing,ATAC-seq assay,RNA-seq assay,microRNA profiling by high throughput sequencing assay,ATAC-seq,Shotgun bisulfite sequencing,WGBS,assay for transposase-accessible chromatin using sequencing,transcription profiling by high throughput sequencing,shotgun bisulfite-seq assay	UBERON:0002113	Entire kidney,reniculate kidney
ENCSR055HAB	colonic mucosa	transcription profiling by array assay,RRBS,ChIP-seq	REMC Epigenome (Class 4) for Colonic Mucosa using donors/samples:32	Roadmap	released	Homo sapiens	IHEC:IHECRE00000931.1	OBI:0000716,OBI:0001862,OBI:0001463	tissue	RNA profiling by array assay,RRBS,transcription profiling by array assay,reduced representation bisulfite-seq,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,RRBS assay,reduced representation bisulfite sequencing assay	UBERON:0000317	colon mucosa,colonic mucous membrane,large bowel mucosa,colon mucous membrane,organ mucosa of large bowel,mucosa of organ of large bowel,colon mucosa of organ,mucous membrane of large bowel,large bowel mucosa of organ,colon organ mucosa,organ mucosa of colon,colonic mucosa,mucosa of large bowel,mucosa of colon,mucosa of organ of colon,mucous membrane of colon,large bowel mucous membrane,Entire colonic mucous membrane,mucosa of segment of colon,large bowel organ mucosa
ENCSR755PXK	rectal smooth muscle tissue	RRBS,ChIP-seq	REMC Epigenome (Class 5) for Rectal Smooth Muscle using donors/samples:30	Roadmap	released	Homo sapiens	IHEC:IHECRE00000944.1	OBI:0000716,OBI:0001862	tissue	RRBS,reduced representation bisulfite-seq,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,RRBS assay,reduced representation bisulfite sequencing assay	UBERON:0018112	rectal smooth muscle tissue,rectum smooth muscle,smooth muscle of rectum
ENCSR528DQE	middle frontal area 46	RRBS,ChIP-seq	REMC Epigenome (Class 5) for Brain Dorsolateral Prefrontal Cortex using donors/samples:112; 149	Roadmap	released	Homo sapiens	IHEC:IHECRE00000948.1	OBI:0000716,OBI:0001862	tissue	RRBS,reduced representation bisulfite-seq,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,RRBS assay,reduced representation bisulfite sequencing assay	UBERON:0006483	middle frontal area 46,B09-46,area frontalis media,BA46,area 46 of Brodmann-1909,area 46 of Brodmann,middle frontal|area 46 of Brodmann-1909,Brodmann area 46, middle frontal,Brodmann (1909) area 46,Brodmann area 46
ENCSR751IJU	right cardiac atrium	whole-genome shotgun bisulfite sequencing,RNA-seq,ChIP-seq	REMC Epigenome (Class 2) for Right Atrium using donors/samples:STL003	Roadmap	released	Homo sapiens	IHEC:IHECRE00000936.1	OBI:0000716,OBI:0001271,OBI:0001863	tissue	chromatin immunoprecipitation sequencing assay,ChIP-seq assay,whole-genome shotgun bisulfite sequencing,WGSBS,whole genome bisulfite sequencing,RNA-seq assay,Shotgun bisulfite sequencing,WGBS,transcription profiling by high throughput sequencing,shotgun bisulfite-seq assay	UBERON:0002078	right atrium of heart,cardiac right atrium,heart right atrium,right atrium,right cardiac atrium
ENCSR424HQH	limb	ATAC-seq,ChIP-seq,RNA-seq,whole-genome shotgun bisulfite sequencing,microRNA-seq	Reference Epigenome for mouse limb (embryonic 13.5 day).	ENCODE	released	Mus musculus	IHEC:IHECRE00001804.1	OBI:0000716,OBI:0001271,OBI:0002039,OBI:0001922,OBI:0001863	tissue	miRNA-seq,microRNA-seq assay,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,whole-genome shotgun bisulfite sequencing,microRNA-seq,WGSBS,whole genome bisulfite sequencing,ATAC-seq assay,RNA-seq assay,microRNA profiling by high throughput sequencing assay,ATAC-seq,Shotgun bisulfite sequencing,WGBS,assay for transposase-accessible chromatin using sequencing,transcription profiling by high throughput sequencing,shotgun bisulfite-seq assay	UBERON:0002101	flipper,tetrapod limb,extremities,pentadactyl limb,extremity,free limb,Entire limb,limb sensu Vertebrata,limb sensu vertebrata
ENCSR010PKP	adrenal gland	ChIP-seq,DNase-seq	REMC Epigenome (Class 5) for Fetal Adrenal Gland using donors/samples:H-24800; H-22662	Roadmap	released	Homo sapiens	IHEC:IHECRE00000927.1	OBI:0000716,OBI:0001853	tissue	ChIP-seq assay,DNase I hypersensitive sites sequencing assay,DNase-seq assay,DNase-seq,chromatin immunoprecipitation sequencing assay	UBERON:0002369	glandula suprarenalis,glandula adrenalis
ENCSR926DHA	brain	transcription profiling by array assay,RRBS,MRE-seq,MeDIP-seq,ChIP-seq,DNase-seq	REMC Epigenome (Class 3) for Fetal Brain Male using donors/samples:H-22510;UW_H22676	Roadmap	released	Homo sapiens	IHEC:IHECRE00001053.1	OBI:0000716,OBI:0001862,OBI:0001463,OBI:0000693,OBI:0001853,OBI:0001861	tissue	RNA profiling by array assay,Methylated DNA immunoprecipitation sequencing assay,RRBS,transcription profiling by array assay,reduced representation bisulfite-seq,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,methylation-sensitive restriction enzyme sequencing assay,DNase-seq assay,DNase I hypersensitive sites sequencing assay,MRE-seq,DNase-seq,RRBS assay,MeDIP-seq assay,MRE-seq assay,reduced representation bisulfite sequencing assay	UBERON:0000955	encephalon,synganglion,Entire brain
ENCSR550WKF	mucosa of rectum	transcription profiling by array assay,RRBS,ChIP-seq	REMC Epigenome (Class 4) for Rectal Mucosa using donors/samples:31	Roadmap	released	Homo sapiens	IHEC:IHECRE00000966.1	OBI:0000716,OBI:0001862,OBI:0001463	tissue	RNA profiling by array assay,RRBS,transcription profiling by array assay,reduced representation bisulfite-seq,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,RRBS assay,reduced representation bisulfite sequencing assay	UBERON:0003346	rectum mucous membrane,mucous membrane of rectum,rectal mucous membrane,mucosa of organ of rectum,rectum mucosa,rectum mucosa of organ,rectal mucosa,organ mucosa of rectum,rectum organ mucosa
ENCSR189YPN	kidney	ATAC-seq,whole-genome shotgun bisulfite sequencing,ChIP-seq,RNA-seq,microRNA-seq	Reference epigenome for mouse kidney (embryonic 15.5 day).	ENCODE	released	Mus musculus	IHEC:IHECRE00001779.1	OBI:0000716,OBI:0001271,OBI:0002039,OBI:0001922,OBI:0001863	tissue	miRNA-seq,microRNA-seq assay,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,whole-genome shotgun bisulfite sequencing,microRNA-seq,WGSBS,whole genome bisulfite sequencing,ATAC-seq assay,RNA-seq assay,microRNA profiling by high throughput sequencing assay,ATAC-seq,Shotgun bisulfite sequencing,WGBS,assay for transposase-accessible chromatin using sequencing,transcription profiling by high throughput sequencing,shotgun bisulfite-seq assay	UBERON:0002113	Entire kidney,reniculate kidney
ENCSR184RXX	muscle layer of duodenum	ChIP-seq	REMC Epigenome (Class 5) for Duodenum Smooth Muscle using donors/samples:160; 174_REMC_28	Roadmap	released	Homo sapiens	IHEC:IHECRE00000960.1	OBI:0000716	tissue	ChIP-seq assay,chromatin immunoprecipitation sequencing assay	UBERON:0012488	muscularis externa of duodenum,duodenal muscularis propria
